Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Viên uống bổ sung Coenzyme Q10 (60 viên),Sản phẩm thường,Collagen - Vitamin,4905454011052,4905454011052,Có,350000,380000,380000,500000,380000,380000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
Super Collagen Q10 720ml,Sản phẩm thường,Collagen - Vitamin,4932812313688,4932812313688,Có,2600,2660,2650,3050,2660,2700,chai(6),2600,3,2600,2,2600,5,2600,0,2600,0
Nhau thai cừu 12000mg,Sản phẩm thường,Collagen - Vitamin,4933094050575,4933094050575,Có,257000,280000,280000,350000,280000,300000,hộp,257000,0,257000,0,257000,0,257000,0,257000,0
9583-Collagen Honem Hokuso 120v,Sản phẩm thường,Collagen - Vitamin,4935437029583,4935437029583,Có,320000,355000,350000,500000,355000,360000,Hộp,320000,3,320000,3,320000,0,320000,0,320000,0
Tảo vàng 1500 viên,Sản phẩm thường,Collagen - Vitamin,4937224924613,4937224924613,Có,370000,460000,460000,460000,460000,465000,Hộp,370000,0,370000,0,370000,0,370000,0,370000,0
Tảo vàng 2200v,Sản phẩm thường,Collagen - Vitamin,4937224925658,4937224925658,Có,320000,335000,330000,480000,335000,340000,hộp (12),320000,58,320000,40,320000,16,320000,0,320000,0
8774-Viên uống Enzyme rau củ Minami 75 ngày,Sản phẩm thường,Collagen - Vitamin,4945904018774,4945904018774,Có,300000,320000,320000,450000,320000,325000,gói,300000,0,300000,0,300000,0,300000,0,300000,0
Viên Uống Trắng Da Shiseido Pure White C,Sản phẩm thường,Collagen - Vitamin,4954391103368,4954391103368,Có,330000,390000,380000,500000,390000,400000,Hộp,330000,3,330000,3,330000,1,330000,0,330000,0
9656-Collagen Plus nước 100mlx10,Sản phẩm thường,Collagen - Vitamin,4969726109656,4969726109656,Có,800000,830000,820000,1300,830000,840000,Hộp,800000,0,800000,0,800000,1,800000,0,800000,0
0409-Nước uống Collagen D Price,Sản phẩm thường,Collagen - Vitamin,4969726110409,4969726110409,Có,200000,280000,300000,450000,280000,310000,hộp,200000,0,200000,0,200000,0,200000,0,200000,0
Vitamin tổng hợp DHC,Sản phẩm thường,Collagen - Vitamin,49701334,49701334,Có,1000,85000,85000,100000,85000,90000,gói,1000,0,1000,0,1000,0,1000,0,1000,0
5007-Dấm đen 216v,Sản phẩm thường,Collagen - Vitamin,4971493105007,4971493105007,Có,135000,150000,145000,250000,150000,155000,gói,135000,4,135000,7,135000,0,135000,0,135000,0
TPCN Sữa ong chúa Orihiro 30ml,Sản phẩm thường,Collagen - Vitamin,4971493300174,4971493300174,Có,250000,280000,280000,400000,280000,300000,Hộp,250000,0,250000,0,250000,0,250000,0,250000,0
9126-Collagen Placenta 50000,Sản phẩm thường,Collagen - Vitamin,4973021999126,4973021999126,Có,1080,1120,1100,1500,1120,1150,Hộp,1080,5,1080,3,1080,4,1080,0,1080,0
9140-Collagen Rose Lady 5000mg,Sản phẩm thường,Collagen - Vitamin,4973021999140,4973021999140,Có,600000,650000,620000,900000,650000,670000,Hộp,600000,2,600000,3,600000,3,600000,0,600000,0
Viên Health Aid Hyaluronic Acid (làm đẹp da),Sản phẩm thường,Collagen - Vitamin,49758382,49758382,Có,350000,365000,365000,300000,365000,370000,Hộp ,350000,0,350000,0,350000,0,350000,0,350000,0
0537-Siro tăng trưởng chiều cao cho bé Toploan,Sản phẩm thường,Collagen - Vitamin,4975979210537,4975979210537,Có,578500,610000,600000,800000,610000,615000,hộp (6),578500,6,578500,8,578500,3,578500,0,578500,0
Collagen Uroi Contains 5000mg,Sản phẩm thường,Collagen - Vitamin,4975979220741,4975979220741,Có,550000,580000,580000,750000,580000,600000,hộp,550000,0,550000,0,550000,0,550000,0,550000,0
2073-Viên chống nắng UV Fine Japan 30V,Sản phẩm thường,Collagen - Vitamin,4976652012073,4976652012073,Có,160000,170000,165000,250000,170000,175000,gói,160000,2,160000,0,160000,0,160000,0,160000,0
Vitamin E JUVELUX,Sản phẩm thường,Collagen - Vitamin,4987028106081,4987028106081,Có,350000,380000,380000,500000,380000,380000,hộp,350000,0,350000,0,350000,0,350000,0,350000,0
Vitamin BB ,Sản phẩm thường,Collagen - Vitamin,4987028115496,4987028115496,Có,250000,280000,280000,350000,280000,265000,Hộp,250000,0,250000,0,250000,0,250000,0,250000,0
BB chocola 70 viên,Sản phẩm thường,Collagen - Vitamin,4987028123460,4987028123460,Có,225000,250000,250000,300000,250000,250000,Hộp,225000,0,225000,0,225000,0,225000,0,225000,0
BB chocola 80 viên,Sản phẩm thường,Collagen - Vitamin,4987028125143,4987028125143,Có,180000,230000,230000,350000,230000,240000,Hộp,180000,0,180000,0,180000,0,180000,0,180000,0
BB trị mụn 130 viên ,Sản phẩm thường,Collagen - Vitamin,4987028125150,4987028125150,Có,180000,195000,195000,350000,195000,195000,Hũ,180000,0,180000,0,180000,0,180000,0,180000,0
BB chocola 170 viên,Sản phẩm thường,Collagen - Vitamin,4987028125167,4987028125167,Có,547000,350000,350000,450000,350000,350000,hộp,547000,0,547000,0,547000,0,547000,0,547000,0
Viên uống trắng da Transino White C 180v,Sản phẩm thường,Collagen - Vitamin,4987107613530,4987107613530,Có,430000,550000,550000,550000,550000,540000,Hộp,430000,0,430000,0,430000,0,430000,0,430000,0
9792-Viên uống trắng da Transino White C Clear 120v,Sản phẩm thường,Collagen - Vitamin,4987107619792,4987107619792,Có,425000,435000,430000,550000,435000,440000,Hộp(5*12),425000,5,425000,6,425000,0,425000,0,425000,0
7667-Viên uống trắng da Transino White 240 viên,Sản phẩm thường,Collagen - Vitamin,4987107627667,4987107627667,Có,710000,755000,745000,980000,755000,760000,Hộp (30),710000,3,710000,4,710000,4,710000,0,710000,0
Viên uống canxi chống loãng xương 900v,Sản phẩm thường,Collagen - Vitamin,4987245109025,4987245109025,Có,350000,400000,400000,550000,400000,400000,hộp,350000,0,350000,0,350000,0,350000,0,350000,0
Collagen hanamai Gold sụn cá mập,Sản phẩm thường,Collagen - Vitamin,4987334770105,4987334770105,Có,390000,410000,400000,600000,410000,415000,Hộp ,390000,5,390000,1,390000,2,390000,0,390000,0
Viên uống trắng da Vita White Plus 240v,Sản phẩm thường,Collagen - Vitamin,4987343086723,4987343086723,Có,210000,230000,230000,300000,230000,240000,Hộp (5*12),210000,0,210000,0,210000,0,210000,0,210000,0
6754-Viên uống Neovita White C Plus 240 viên,Sản phẩm thường,Collagen - Vitamin,4987343086754,4987343086754,Có,215000,235000,230000,320000,235000,240000,hộp (5x12),215000,7,215000,4,215000,3,215000,0,215000,0
7008-Collagen the Shiseido 21 ngày 5000mg 240g,Sản phẩm thường,Collagen - Vitamin,4987415097008,4987415097008,Có,400000,455000,455000,600000,455000,465000,Gói,400000,0,400000,0,400000,0,400000,0,400000,0
Viên uống bổ sung Coenzyme Q10 Shiseido (60 viên),Sản phẩm thường,Collagen - Vitamin,4987415278407,4987415278407,Có,380000,400000,400000,500000,400000,395000,Hộp,380000,0,380000,0,380000,0,380000,0,380000,0
9457-The collagen shiseido 126v,Sản phẩm thường,Collagen - Vitamin,4987415679457,4987415679457,Có,400000,420000,410000,550000,420000,435000,Hộp,400000,0,400000,0,400000,0,400000,0,400000,0
The Collagen Shiseido  5000 mg,Sản phẩm thường,Collagen - Vitamin,4987415679495,4987415679495,Có,310000,350000,350000,420000,350000,350000,Gói,310000,0,310000,0,310000,0,310000,0,310000,0
Collagen shiseido dạng viên,Sản phẩm thường,Collagen - Vitamin,4987415686363,4987415686363,Có,420000,460000,460000,550000,460000,460000,hộp,420000,0,420000,0,420000,0,420000,0,420000,0
7517-The Collagen 126 viên NEW,Sản phẩm thường,Collagen - Vitamin,4987415957517,4987415957517,Có,405000,415000,410000,550000,415000,420000,Hộp,405000,0,405000,0,405000,2,405000,0,405000,0
7548-The Collagen nước new,Sản phẩm thường,Collagen - Vitamin,4987415957548,4987415957548,Có,365000,390000,385000,550000,390000,400000,Hộp(3) ,365000,0,365000,0,365000,0,365000,0,365000,0
7555-The Collagen 5000mg New,Sản phẩm thường,Collagen - Vitamin,4987415957555,4987415957555,Có,380000,400000,400000,500000,400000,410000,Gói,380000,0,380000,0,380000,0,380000,0,380000,0
3454-The Collagen EX new ,Sản phẩm thường,Collagen - Vitamin,4987415993454,4987415993454,Có,380000,395000,390000,550000,395000,400000,hộp(3),380000,9,380000,9,380000,6,380000,0,380000,0
3508-Collagen EXR ,Sản phẩm thường,Collagen - Vitamin,4987415993508,4987415993508,Có,580000,600000,590000,750000,600000,605000,Hộp(3),580000,58,580000,9,580000,7,580000,0,580000,0
3515-Viên uống Collagen EXR 126 viên,Sản phẩm thường,Collagen - Vitamin,4987415993515,4987415993515,Có,440000,,,650000,,,Hộp,440000,0,440000,0,440000,0,440000,0,440000,0
Melsmon uống nhau thai HEO (Gold Liquid) ,Sản phẩm thường,Collagen - Vitamin,4987546900017,4987546900017,Có,1700,1850,1830,2250,1850,1870,Hộp( 30 ống),1700,0,1700,1,1700,0,1700,0,1700,0
0024-Melsmon uống Nhau thai NGỰA (Melsmon Platinum placenta),Sản phẩm thường,Collagen - Vitamin,4987546900024,4987546900024,Có,1980,2050,2040,2500,2050,2060,Hộp (30 ống),1980,5,1980,4,1980,2,1980,0,1980,0
0082-Collagen Placenta EX Eitoh,Sản phẩm thường,Collagen - Vitamin,4987645490082,4987645490082,Có,385000,395000,390000,500000,395000,400000,Hộp(5),385000,0,385000,0,385000,0,385000,0,385000,0
1760-Finozyme trái cây 310 Sale,Sản phẩm thường,Collagen - Vitamin,821760,821760,Có,1000,,,1200,,,Hộp,1000,0,1000,0,1000,0,1000,0,1000,0
Tế Bào Gốc Nhau Thai Melsmon Placenta 50 ống (Tiêm),Sản phẩm thường,Collagen - Vitamin,G18Y16,G18Y16,Có,2570,2700,2650,4350,2700,2750,Hộp,2570,5,2570,3,2570,2,2570,0,2570,0
